"","ArrHour","n","reason","avg_delay"
"1","10am",6314,"All_Causes",38.7188786822933
"2","10pm",10356,"All_Causes",64.8622054847431
"3","11am",7187,"All_Causes",43.0377069709197
"4","11pm",8741,"All_Causes",68.3650612058117
"5","12am",5130,"All_Causes",83.8169590643275
"6","12pm",7389,"All_Causes",46.622005684125
"7","1am",1938,"All_Causes",118.631062951496
"8","1pm",7985,"All_Causes",49.2075140889167
"9","2am",656,"All_Causes",173.935975609756
"10","2pm",8433,"All_Causes",50.6042926597889
"11","3am",229,"All_Causes",215.493449781659
"12","3pm",8672,"All_Causes",53.2928966789668
"13","4am",86,"All_Causes",237.976744186047
"14","4pm",9957,"All_Causes",51.6541126845435
"15","5am",230,"All_Causes",59.0130434782609
"16","5pm",10114,"All_Causes",54.6358512952343
"17","6am",608,"All_Causes",35.1101973684211
"18","6pm",10922,"All_Causes",56.6095953122139
"19","7am",1330,"All_Causes",33.4345864661654
"20","7pm",10994,"All_Causes",57.9933600145534
"21","8am",3629,"All_Causes",34.0327914025902
"22","8pm",11654,"All_Causes",57.2964647331388
"23","9am",4931,"All_Causes",37.2461975258568
"24","9pm",11322,"All_Causes",61.5090973326267
"25","10am",6314,"Carrier",15.6061133987963
"26","10pm",10356,"Carrier",15.3002124372345
"27","11am",7187,"Carrier",16.9678586336441
"28","11pm",8741,"Carrier",18.5371238988674
"29","12am",5130,"Carrier",23.4805068226121
"30","12pm",7389,"Carrier",16.9821356069834
"31","1am",1938,"Carrier",31.6341589267286
"32","1pm",7985,"Carrier",15.4671258609894
"33","2am",656,"Carrier",46.5868902439024
"34","2pm",8433,"Carrier",14.8124036523183
"35","3am",229,"Carrier",55.5982532751092
"36","3pm",8672,"Carrier",16.102167896679
"37","4am",86,"Carrier",49.7325581395349
"38","4pm",9957,"Carrier",14.6351310635734
"39","5am",230,"Carrier",16
"40","5pm",10114,"Carrier",15.4136840023729
"41","6am",608,"Carrier",12.3684210526316
"42","6pm",10922,"Carrier",14.9533052554477
"43","7am",1330,"Carrier",12.0067669172932
"44","7pm",10994,"Carrier",13.9643441877388
"45","8am",3629,"Carrier",12.5643427941582
"46","8pm",11654,"Carrier",12.828385103827
"47","9am",4931,"Carrier",14.7434597444737
"48","9pm",11322,"Carrier",14.0161632220456
"49","10am",6314,"Weather",2.27906240101362
"50","10pm",10356,"Weather",2.81923522595597
"51","11am",7187,"Weather",3.01252261026854
"52","11pm",8741,"Weather",2.83960645235099
"53","12am",5130,"Weather",3.55964912280702
"54","12pm",7389,"Weather",3.70253078901069
"55","1am",1938,"Weather",5.14035087719298
"56","1pm",7985,"Weather",3.56030056355667
"57","2am",656,"Weather",11.155487804878
"58","2pm",8433,"Weather",3.36191153800545
"59","3am",229,"Weather",8.96506550218341
"60","3pm",8672,"Weather",3.06642066420664
"61","4am",86,"Weather",25.8372093023256
"62","4pm",9957,"Weather",2.84744400923973
"63","5am",230,"Weather",2.78260869565217
"64","5pm",10114,"Weather",2.68192604310856
"65","6am",608,"Weather",1.09539473684211
"66","6pm",10922,"Weather",2.56326680095221
"67","7am",1330,"Weather",1.19548872180451
"68","7pm",10994,"Weather",2.67691468073495
"69","8am",3629,"Weather",1.32708735188757
"70","8pm",11654,"Weather",2.45263428865626
"71","9am",4931,"Weather",2.57148651389171
"72","9pm",11322,"Weather",2.41529765059177
"73","10am",6314,"NAS",15.5869496357301
"74","10pm",10356,"NAS",17.8323677095404
"75","11am",7187,"NAS",15.1622373730346
"76","11pm",8741,"NAS",15.6173206726919
"77","12am",5130,"NAS",14.4623781676413
"78","12pm",7389,"NAS",15.3499796995534
"79","1am",1938,"NAS",13.859649122807
"80","1pm",7985,"NAS",16.0936756418284
"81","2am",656,"NAS",13.3780487804878
"82","2pm",8433,"NAS",16.1533262184276
"83","3am",229,"NAS",17.2270742358079
"84","3pm",8672,"NAS",16.1674354243542
"85","4am",86,"NAS",39.3372093023256
"86","4pm",9957,"NAS",15.4826755046701
"87","5am",230,"NAS",9.57826086956522
"88","5pm",10114,"NAS",15.4853668182717
"89","6am",608,"NAS",9.71875
"90","6pm",10922,"NAS",16.7234938655924
"91","7am",1330,"NAS",11.4105263157895
"92","7pm",10994,"NAS",17.3212661451701
"93","8am",3629,"NAS",15.9253237806558
"94","8pm",11654,"NAS",18.0233396258795
"95","9am",4931,"NAS",15.6205637801663
"96","9pm",11322,"NAS",18.202261084614
"97","10am",6314,"Security",0.0871080139372822
"98","10pm",10356,"Security",0.0992661259173426
"99","11am",7187,"Security",0.0883539724502574
"100","11pm",8741,"Security",0.107653586546162
"101","12am",5130,"Security",0.0697855750487329
"102","12pm",7389,"Security",0.082284476925159
"103","1am",1938,"Security",0.0536635706914345
"104","1pm",7985,"Security",0.0741390106449593
"105","2am",656,"Security",0.0198170731707317
"106","2pm",8433,"Security",0.0996086801849875
"107","3am",229,"Security",0
"108","3pm",8672,"Security",0.0935193726937269
"109","4am",86,"Security",0
"110","4pm",9957,"Security",0.0881791704328613
"111","5am",230,"Security",0.0347826086956522
"112","5pm",10114,"Security",0.0466679849713269
"113","6am",608,"Security",0.0131578947368421
"114","6pm",10922,"Security",0.0666544588903131
"115","7am",1330,"Security",0.247368421052632
"116","7pm",10994,"Security",0.0640349281426233
"117","8am",3629,"Security",0.172499311104988
"118","8pm",11654,"Security",0.0686459584691951
"119","9am",4931,"Security",0.210302169945244
"120","9pm",11322,"Security",0.074368486133192
"121","10am",6314,"Late_Aircraft",5.15964523281596
"122","10pm",10356,"Late_Aircraft",28.811123986095
"123","11am",7187,"Late_Aircraft",7.80673438152219
"124","11pm",8741,"Late_Aircraft",31.2633565953552
"125","12am",5130,"Late_Aircraft",42.2446393762183
"126","12pm",7389,"Late_Aircraft",10.5050751116525
"127","1am",1938,"Late_Aircraft",67.9432404540764
"128","1pm",7985,"Late_Aircraft",14.0122730118973
"129","2am",656,"Late_Aircraft",102.795731707317
"130","2pm",8433,"Late_Aircraft",16.1770425708526
"131","3am",229,"Late_Aircraft",133.703056768559
"132","3pm",8672,"Late_Aircraft",17.8633533210332
"133","4am",86,"Late_Aircraft",123.06976744186
"134","4pm",9957,"Late_Aircraft",18.6006829366275
"135","5am",230,"Late_Aircraft",30.6173913043478
"136","5pm",10114,"Late_Aircraft",21.0082064465098
"137","6am",608,"Late_Aircraft",11.9144736842105
"138","6pm",10922,"Late_Aircraft",22.3028749313313
"139","7am",1330,"Late_Aircraft",8.57443609022556
"140","7pm",10994,"Late_Aircraft",23.966800072767
"141","8am",3629,"Late_Aircraft",4.04353816478369
"142","8pm",11654,"Late_Aircraft",23.9234597563068
"143","9am",4931,"Late_Aircraft",4.10038531737984
"144","9pm",11322,"Late_Aircraft",26.8010068892422
